,date_ordinal,open,close,volume,low,high
416,735841,129.54,129.9883,4093078,128.5556,130.4365
417,735842,127.369,125.4089,5272016,124.6794,127.4305
418,735843,127.3778,127.492,4252028,125.8484,127.5184
419,735844,128.371,129.0126,3603518,128.1249,130.1113
420,735845,127.0701,126.3055,4201068,125.9714,127.7997
421,735849,128.204,129.4082,3933276,128.0282,129.5048
422,735850,130.7354,127.492,3407761,127.3162,130.9991
423,735851,128.1952,128.5028,3461658,127.0174,129.3466
424,735852,128.2479,129.5312,3115053,128.037,129.6455
425,735855,129.5312,128.0194,3226747,127.8085,129.5312
426,735856,128.8544,129.6718,2717060,128.1161,130.0234
427,735857,129.9443,130.4453,2799233,129.6806,130.8672
428,735858,130.1728,130.208,4002952,129.4697,131.5616
429,735859,128.371,127.0174,7975845,126.5516,128.6654
430,735862,127.7909,128.7489,3825036,127.3778,129.1884
431,735863,127.1141,126.9471,3564065,126.3669,127.5008
432,735864,126.7537,126.2703,2674225,125.4704,127.0701
433,735865,125.3386,126.9295,3280268,124.7673,127.5096
434,735866,127.9315,127.8172,3474429,127.035,128.5644
435,735869,126.9383,125.2683,4317302,125.2243,127.7821
436,735870,124.8024,125.2243,4763509,124.0642,125.3913
437,735871,126.2967,127.4217,3946168,126.2703,128.0721
438,735872,127.7206,126.2088,3880887,124.4509,128.037
439,735873,123.9762,127.0789,3054428,123.5455,127.0877
440,735876,128.1688,130.9991,5131819,128.1688,131.7484
441,735877,131.0166,130.7705,3018096,130.5156,131.9747
442,735878,131.878,131.922,2989943,130.8378,132.4845
443,735879,131.5704,133.8469,4794357,131.2188,134.4964
444,735880,134.0051,133.9435,3531107,132.9591,134.6089
445,735883,133.9523,132.8449,3227636,132.59,134.1105
446,735884,132.5284,131.5088,3915707,131.1221,132.5284
447,735885,131.4913,131.8516,3353008,130.9815,132.4142
448,735886,132.6427,131.922,3476219,130.5947,132.9328
449,735887,132.2384,132.1856,3483739,131.1924,132.8976
450,735890,131.711,131.1573,7954684,130.4189,131.8165
451,735891,125.2419,123.6159,16025591,123.2906,125.5847
452,735892,123.2731,123.862,7134948,122.4381,125.3913
453,735893,124.5827,126.6482,5583167,124.4772,127.5096
454,735894,127.1053,127.1668,5370439,126.3055,127.8788
455,735897,127.2284,126.2703,3489428,125.8748,127.4481
456,735898,126.1385,121.1724,15008527,120.7065,126.4197
457,735899,121.2251,123.7829,8511376,120.8559,124.1344
458,735900,123.3697,123.5368,3710445,122.192,123.7741
459,735901,123.4401,123.1236,3983990,122.9654,124.2223
460,735904,123.4928,123.3785,3822212,122.6754,123.5073
461,735905,123.0709,124.7058,4349405,122.9654,125.5144
462,735906,125.2947,124.486,3516890,124.196,125.3826
463,735907,124.4684,122.9566,5096893,122.7281,125.1452
464,735908,122.9655,122.655,4744948,122.3179,123.8084
465,735911,122.3622,120.0466,8075593,119.6651,122.5042
466,735912,120.091,120.1886,4520807,118.9909,120.4237
467,735913,120.7386,119.7893,3164806,119.328,120.8362
